Kids,,,,,,,,,,,,,,,,Salario Mensual,Salario Quincenal,,,,,,
,,,,,,,,,,,,,,,,"$142,000.00","$71,000.00",,,,,,
Nombre,Mensual ,Quincenal,Es Anual,Costo Anual,Costo Mensual,Comentarios,Cuenta Cargo ,Cuenta deposito,,,,,,,,,,,,,,,
Colegiatura Lena,"$15,800.00","$7,900.00",FALSE,,"$15,770.00",,HSBC World elite,Uala,,,,,,,Objetivos Ahorro,,,,,,,,
Colegiatura Leander,"$8,000.00","$4,000.00",FALSE,,"$7,915.00",,Uala,Uala,,,,,,,Largo Plazo (11%),"$15,620.00","$7,810.00",,,,,,
Horario Extendido Leander,"$2,200.00","$1,100.00",FALSE,,"$2,200.00",2 dias por semana,Uala,Uala,,,,,,,Corto Plazo (9%),"$12,780.00","$6,390.00",,,,,,
Clases de aleman,"$2,000.00","$1,000.00",FALSE,,"$2,000.00",4 clases al mes (4 Mi por mes),HSBC World elite,Uala,,,,,,,,,,,,,,,
Inscripcion Lena,"$1,700.00",$850.00,TRUE,"$19,500.00","$1,625.00",Al menos 50% de la siguiente inscripcion,HSBC World elite,Stori Inversion +,,,,,,,,,,,,,,,
Natacion Lena,"$1,300.00",$650.00,FALSE,,"$1,270.00",#NAME?,HSBC World elite,Uala,,,,,,,,,,,,,,,
Ballet,"$1,200.00",$600.00,FALSE,,"$1,200.00",,Nu Dalia Debito,Nu Dalia Debito,,,,,,,,,,,,,,,
Natacion Leander,"$1,300.00",$650.00,FALSE,,"$1,270.00",,HSBC World elite,Uala,,,,,,,,,,,,,,,
Lena Yoga,"$1,100.00",$550.00,FALSE,,"$1,100.00",,HSBC World elite,Uala,,,,,,,,,,,,,,,
Lena Robotica,"$1,100.00",$550.00,FALSE,,"$1,100.00",,HSBC World elite,Uala,,,,,,,,,,,,,,,
Inscripcion Leander,$800.00,$400.00,TRUE,"$9,500.00",$791.67,,Uala,Stori Inversion +,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$36,500.00","$18,250.00",,,"$36,241.67",,,,,,"$62,839.00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Suscripciones,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Sports World,"$3,900.00","$1,950.00",FALSE,,"$3,850.00",,HSBC World elite,Nu Cajita Gastos,,,,,,,,,,,,,,,
Netflix,$400.00,$200.00,FALSE,,$350.00,,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
NFL game pass,$300.00,$150.00,TRUE,"$3,300.00",$275.00,,HSBC World elite,Stori Inversion +,,,,,,,,,,,,,,,
Disney,$200.00,$100.00,TRUE,"$2,400.00",$200.00,,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
Max,$200.00,$100.00,FALSE,,$199.00,,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
Spotify,$200.00,$100.00,TRUE,"$1,990.00",$165.83,,HSBC World elite,Stori Inversion +,,,,,,,,,,,,,,,
Digital Ocean,$200.00,$100.00,FALSE,,$130.00,,HSBC World elite,Nu Cajita Gastos,,,,,,,,,,,,,,,
Prime,$100.00,$50.00,TRUE,$899.00,$74.92,,HSBC World elite,Stori Inversion +,,,,,,,,,,,,,,,
Uber one,$100.00,$50.00,TRUE,$750.00,$62.50,,HSBC World elite,Stori Inversion +,,,,,,,,,,,,,,,
Frontend masters ,$0.00,$0.00,FALSE,,,,HSBC World elite,Nu Cajita Gastos,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$5,600.00","$2,800.00",,,"$5,307.25",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Telecomunicaciones,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Totalplay (Internet + TV) ,"$1,400.00",$700.00,FALSE,,"$1,399.00",,2Now Hogar,Nu Cajita Hogar,,,,,,,,,,,,,,,
Movistar Dalia,$500.00,$250.00,FALSE,,$500.00,,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
Movistar Alfredo,$500.00,$250.00,FALSE,,$439.00,,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$2,400.00","$1,200.00",,,"$2,338.00",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ahorro,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Trading,$500.00,$250.00,FALSE,,$450.00,,HSBC ,GBM Trading,,,,,,,,,,,,,,,
Dolares,$500.00,$250.00,FALSE,,$450.00,,HSBC ,GBM Dolares,,,,,,,,,,,,,,,
Largo plazo,"$1,100.00",$550.00,FALSE,,"$1,100.00",,Stori Inversion +,Stori Inversion +,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$2,100.00","$1,050.00",,,"$2,000.00",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Auto,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Nuevo Auto,"$11,000.00","$5,500.00",FALSE,,"$11,000.00",,HSBC ,Nu Cajita Auto,,,,,,,,,,,,,,,
Gasolina,"$3,700.00","$1,850.00",FALSE,,"$3,700.00",,2Now Gastos,Nu Cajita Auto,,,,,,,,,,,,,,,
