Mensualidades,,,,,,,,
,,,,,,,,
Concepto,Cantidad,# Mensualidades,Mensualidades Pagadas,Mensualidad ,Restante,Tarjeta,,
Gastos Medicos Menores,"$6,354.68",1,0,"$6,354.68","$6,354.68",2Now Gastos,,
Gastos Generales,"$1,736.20",1,0,"$1,736.20","$1,736.20",2Now Gastos,,
Gastos Medicos Mayores 2Now,$0.00,1,0,$0.00,$0.00,2Now Gastos,,
Gastos Hogar y Alimentos,"$1,067.32",1,0,"$1,067.32","$1,067.32",2Now Hogar,,
Texas 2,"$18,942.52",3,1,"$6,314.17","$12,628.35",AMEX,,
Olinca Enero,"$17,280.00",3,1,"$5,760.00","$11,520.00",AMEX,,
Olinca Diciembre,"$17,280.00",3,2,"$5,760.00","$5,760.00",AMEX,,
Olinca Noviembre,"$17,280.00",3,3,"$5,760.00",$0.00,AMEX,,
AIRBNB,"$15,024.74",3,2,"$5,008.25","$5,008.25",AMEX,,
AMEX MSI,"$6,800.00",9,4,$755.56,"$3,777.78",AMEX,,
AMEX Extranjero Dic,"$3,612.43",3,1,"$1,204.14","$2,408.29",AMEX,,
AMEX,$0.00,1,0,$0.00,$0.00,AMEX,,
Gastos Medicos Mayores Amex,$0.00,1,0,$0.00,$0.00,AMEX,,
Vuelo Tijuana,"$14,500.00",3,3,"$4,833.33",$0.00,AMEX,,
AMEX Gastos medicos,$0.00,1,0,$0.00,$0.00,AMEX,,
Costco,$0.00,1,0,$0.00,$0.00,Costco ,,
Sala,"$37,794.60",18,8,"$2,099.70","$20,997.00",HSBC World elite,,
Texas 1,"$20,555.63",6,1,"$3,425.94","$17,129.69",HSBC World elite,,
Happy Holidays,"$10,246.20",6,1,"$1,707.70","$8,538.50",HSBC World elite,,
Amazon MSI,"$7,390.75",9,2,$821.19,"$5,748.36",HSBC World elite,,
Gastos Programados WE,$0.00,1,0,$0.00,$0.00,HSBC World elite,,
Computadora,"$3,999.00",6,1,$666.50,"$3,332.50",HSBC World elite,,
Gastos WE,$0.00,1,0,$0.00,$0.00,HSBC World elite,,
Toys R Us,"$2,668.00",3,1,$889.33,"$1,778.67",HSBC World elite,,
iPad,"$7,653.00",9,8,$850.33,$850.33,HSBC World elite,,
Master,"$4,998.84",12,10,$416.57,$833.14,HSBC World elite,,
Lavadora,"$6,291.00",9,8,$699.00,$699.00,HSBC World elite,,
Estufa,"$4,169.00",9,8,$463.22,$463.22,HSBC World elite,,
Gastos Medicos WE,$0.00,1,0,$0.00,$0.00,HSBC World elite,,
Bellroy Sling,"$3,168.41",6,6,$528.07,$0.00,HSBC World elite,,
Dentista,"$12,244.00",6,6,"$2,040.67",$0.00,HSBC World elite,,
La Comer,"$13,498.00",12,12,"$1,124.83",$0.00,HSBC World elite,,
Computadora,"$31,641.36",6,0,"$5,273.56","$31,641.36",HSBC World elite,,
Tarjeta Liverpool,$0.00,1,0,$0.00,$0.00,Liverpool,,
Tarjeta Nu,$0.00,1,0,$0.00,$0.00,Nu Tarjeta,,
Tarjeta palacio,$0.00,1,0,$0.00,$0.00,Palacio de Hierro,,
Tarjeta Uala,"$8,315.00",1,0,"$8,315.00","$8,315.00",Uala Credito,,
Vuelos Houston,"$36,620.00",6,3,"$6,103.33","$18,310.00",Volaris,,
IKEA,"$5,148.00",6,5,$858.00,$858.00,Volaris,,
Olinca Febrero,"$17,280.00",3,0,"$5,760.00","$17,280.00",AMEX,,
Tennis Brooks,"$3,259.08",6,0,$543.18,"$3,259.08",AMEX,,
,,,,,,,,
,,,,,,,,
Total Deuda,"$199,864.07",,,Deuda Restante,"$106,006.91",,Dia de corte,Dia limite de pago
,,,,,,,,
Total por tarjeta,HSBC World elite,"$92,011.78",,Pagos unicos tarjetas,Nu Tarjeta,$0.00,12,2
,Nu Tarjeta,$0.00,,,Volaris,$0.00,16,7
,Volaris,"$19,168.00",,,HSBC World elite,$0.00,,
,Palacio de Hierro,$0.00,,,2Now Gastos,"$8,090.88",30,14
,2Now Gastos,"$8,090.88",,,Uala Credito,"$8,315.00",11,30
,AMEX,"$61,641.74",,,2Now Hogar,"$1,067.32",18,18
,2Now Hogar,"$1,067.32",,,Palacio de Hierro,$0.00,,
,,,,,Costco ,$0.00,27,27
,,,,,Liverpool,$0.00,16,8
,,,,,AMEX,$0.00,,
,,,,,,,,
,,,,,,,,
,,"$338,358.26",,Meses Sin Intereses,,,,
,,,,,HSBC World elite,"$8,721.03",,
,,,,,Volaris,$0.00,,
,,,,,AMEX,"$35,395.45",,
,,,,,,,,
,,,,,,,,1880.05
"$8,394.68",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,58874,,,,,
