Kids,,,,,,,,,,,,,,,,Salario Mensual,Salario Quincenal,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,Costo Anual,Costo Mensual,Comentarios,Cuenta Cargo ,Cuenta deposito,,,,,,,,,,,,,,,
Colegiatura Lena,"$17,500.00","$8,750.00",FALSE,,"$17,500.00",,HSBC World elite,Uala,,,,,,,,,,,,,,,
Colegiatura Leander,"$12,500.00","$6,250.00",FALSE,,"$12,500.00",,Uala,Uala,,,,,,,,,,,,,,,
Clases de aleman,"$4,400.00","$2,200.00",FALSE,,"$4,400.00",8 clases al mes (2 clases semanales),HSBC World elite,HSBC ,,,,,,,,,,,,,,,
Gimnasia,"$2,500.00","$1,250.00",FALSE,,"$2,500.00",,Uala,Uala,,,,,,,,,,,,,,,
Inscripcion Lena,"$1,600.00",$800.00,TRUE,"$19,000.00","$1,583.33",Al menos 50% de la siguiente inscripcion,HSBC World elite,Stori Inversion +,,,,,,,,,,,,,,,
Natacion Lena,"$1,300.00",$650.00,FALSE,,"$1,270.00",,HSBC World elite,Uala,,,,,,,,,,,,,,,
Natacion Leander,"$1,300.00",$650.00,FALSE,,"$1,270.00",,HSBC World elite,Uala,,,,,,,,,,,,,,,
Little Kickers,"$1,300.00",$650.00,FALSE,,"$1,250.00",,HSBC World elite,Uala,,,,,,,,,,,,,,,
Inscripcion Leander,"$1,000.00",$500.00,TRUE,"$12,000.00","$1,000.00",,Uala,Stori Inversion +,,,,"$49,839.00",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Total,"$43,400.00","$21,700.00",,,"$43,273.33",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Suscripciones,,,,,,,,,,,,64217,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Nombre,Mensual ,Quincenal,Es Anual,,,,Cuenta Cargo ,Cuenta Deposito ,,,,,,,,,,,,,,,
Sports World,"$3,900.00","$1,950.00",FALSE,,"$3,850.00",,HSBC World elite,Nu Cajita Gastos,,,,,,,,,,,,,,,
Netflix,$400.00,$200.00,FALSE,,$350.00,,2Now Gastos,Nu Cajita Gastos,,,,,,,,,,,,,,,
